ID;Etapa;Ação;Ator;Contexto;Suporte Pedagógico;Categorias
13;Discussão;Refletir sobre respostas e revisá‑las após feedback do quiz.;Alunos;prompt feedback inviting students to reflect and respond again if the answer is wrong or continue if the answer is right.;Feedback do quiz;Atividade metacognitiva | Suporte scaffold
17;Orientação;Fornecer diretrizes sobre as áreas de domínio em que o problema deve ser identificado;Professor;In this hybrid inquiry approach, guidelines regarding domain areas in which problem needs to be identified will be given to the learners.;Diretrizes escritas sobre áreas de domínio;Introdução com desafio ou problema
17;Orientação;Formar equipes e atribuir uma aplicação única a cada grupo;Professor;Initially, students were asked to form team of size 3 and were assigned an unique application to practice database design, query writing, and management tasks.;Lista de aplicações do mundo real atribuídas;
17;Orientação;Identificar problemas específicos relevantes às áreas de domínio escolhidas;Aluno;However, specific problems relevant to application of these domain areas will be left open for exploration.;Autonomia orientada pelas diretrizes do professor;Introdução com desafio ou problema
17;Conceituação;Oferecer conhecimentos de base sobre o tema;Professor;Necessary background knowledge relevant to the subject area will be given to the learners, whereas the background knowledge relevant to the application areas shall be left for exploration by the learners.;Aulas expositivas e materiais de referência;Apresentação direta da informação
17;Conceituação;Pesquisar conhecimentos de base específicos da aplicação;Aluno;the background knowledge relevant to the application areas shall be left for exploration by the learners.;Tempo e recursos para pesquisa autônoma;Pesquisa bibliográfica
17;Conceituação;Selecionar ferramentas e tecnologias adequadas para resolver o problema;Aluno;The learners are expected to make use of right tools and technologies to solve the problem chosen.;Diretrizes de ferramentas exemplificadas pelo professor;Protocolo definido pelo aluno / exploratória
17;Investigação;Implementar serviços de nuvem para adicionar autenticação, banco de dados e armazenamento a uma aplicação;Aluno;Implementation of sample cloud services to add authentication, database, and storage to a sample application;Tutoriais de serviços de nuvem e acesso a plataformas;Letramento digital / computação
17;Investigação;Criar tabelas e realizar consultas SQL para recuperar informações;Aluno;Creation of tables and retrieval of information using SQL queries.;Documentos modelo e ferramentas de modelagem de banco de dados;Letramento digital / computação
17;Investigação;Codificar aplicações de socket incluindo servidores concorrentes e multicast;Aluno;The experiments on socket programming include connection oriented and connection less sockets, design of concurrent servers, Remote Method Invocation and creating multicast sockets for group communication.;Biblioteca java.net e rubrica de avaliação;Letramento digital / computação
17;Conclusão;Definir expectativas detalhadas para comunicação de resultados;Professor;Expectations are given in detail to the learners;Expectativas explicitadas e critérios de avaliação;Produção de slides ou pôsteres
17;Conclusão;Analisar os resultados e produzir insights significativos;Aluno;they are allowed to explore the results to produce meaningful insights.;Orientações para interpretação de resultados;Conexão entre prática e teoria
17;Discussão;Submeter relatório de apresentação com detalhes de instalação, limitações e questões avaliativas;Aluno;A presentation report which includes the details of installation, operational procedures, limitations and a worksheet which contains possible questions to test the understanding about the tool has been submitted by the learners.;Modelo de relatório e worksheet orientador;Produção de slides ou pôsteres
17;Discussão;Aplicar rubricas de avaliação para atribuir notas e feedback;Professor;The rubrics for assessment is presented in Figure 9.;Rubrica de avaliação detalhada;Lista de verificação / rubricas | Colaboração estruturada
27;Orientação;Aula expositiva de 40 min sobre a base conceitual do tema;Professor;each round of the experiment consisted of three weeks of learning activities, which started with a 40‑minute lecture on a knowledge base in the first week;Aula expositiva;Apresentação direta da informação
27;Orientação;Apresentação das regras de colaboração e dos papéis previstos no script externo;Professor;Before collaborative learning begins, the teacher explicitly sets expectations and guides students regarding how group members should interact, such as encouraging turn‑taking and joint attention;Script externo de colaboração;Demonstração / exemplos / comparações / diretrizes
27;Orientação;Discussão em grupo para escolher o aluno‑‘inspector’;Alunos;At the beginning of the inquiry, each group holds discussion, based on which a student is appointed as the inspector for that group;Script externo;Roleplay
27;Conceituação;Introdução da atividade nas worksheets feita pelo professor;Professor;students completed the introduction to the inquiries … under the guidance of the science teacher;Worksheet em papel;Protocolo estruturado pelo professor
27;Conceituação;Preenchimento da seção de introdução da worksheet (ativação de conhecimentos prévios);Alunos;students completed the introduction to the inquiries … under the guidance of the science teacher;Worksheet em papel;Protocolo estruturado pelo professor
27;Conceituação;Observação inicial dos fenómenos na simulação para compreensão conceitual;Alunos;The first task focused on exploring how students interpreted experimental phenomena, which facilitated students’ concept interpretation;Simulação PhET;Simulação / material interativo
27;Investigação;Manipulação das simulações PhET para coletar evidências;Alunos;in this scenario, one or two of them generally operated the VM, while others participated orally and paid more attention to the process and outcomes of the inquiry;Simulação PhET;Simulação / material interativo | Coleta de evidências / dados quantitativos
27;Investigação;Registro de dados e respostas nas worksheets;Alunos;paper‑based group worksheets were provided to each group, which facilitated and recorded collaborative inquiry‑based learning under four different conditions;Worksheet em papel;Protocolo estruturado pelo professor | Coleta de evidências / dados quantitativos
27;Investigação;Monitoramento da participação pelo aluno‑‘inspector’;Alunos;The inspector is expected to regulate the collaborative inquiry processes and encourage other group members to stay engaged in the activities;Script externo;Roleplay
27;Investigação;Discussão em grupo para resolver a atividade de problem‑solving;Alunos;they worked collaboratively in each stage of the inquiry learning activities, including manipulation, discussion, and note‑taking;Worksheet + Simulação;Brainstorming
27;Conclusão;Preenchimento da seção de resumo da worksheet após a investigação;Alunos;students completed … the summary sessions under the guidance of the science teacher;Worksheet em papel;Produção de relatório | Suporte scaffold
27;Conclusão;Síntese final dos resultados conduzida pelo professor;Professor;students completed … the summary sessions under the guidance of the science teacher;Discussão oral;Conexão entre prática e teoria
27;Conclusão;Resposta ao questionário eletrônico de satisfação;Alunos;After the activities, students filled in the electronic questionnaire through Tablets PCs;Questionário eletrônico;Quiz / enquete / avaliação formativa
27;Discussão;Resposta à pergunta aberta sobre a colaboração (1.ª rodada);Alunos;How did your group members collaborate through tablet(s)?;Questionário eletrônico – campo aberto;Discussão não mediada por tecnologia | Atividade metacognitiva
27;Discussão;Resposta à pergunta aberta sobre mudanças na gestão de recursos (2.ª rodada);Alunos;In term of the resource management and task allocation, are there any differences in your group compared to the last experiment;Questionário eletrônico – campo aberto;Discussão não mediada por tecnologia | Atividade metacognitiva
35;Orientação;Apresenta exemplos do cotidiano que envolvem movimento circular para contextualizar o tema;Professor;When introducing the topic of CM, students’ attention was drawn to objects in their everyday life that experience this type of motion, such as the motion of cars around curves and the motion of the earth around the sun. ;Imagens de objetos em movimento circular;Demonstração / exemplos / comparações / diretrizes
35;Orientação;Observa imagens de objetos em movimento circular, discute e escreve o que há de comum;Aluno;the students were asked to observe images of objects experiencing CM, discuss them and write down what was common across the images. ;"Imagens; Ferramenta de discussão on‑line";Introdução com recurso multimídia
35;Conceituação;Fornece informação conceitual detalhada e exige que os alunos gerem hipóteses no scratchpad;Professor;The hypotheses phase presented detailed conceptual information on the topic and required the students to generate hypotheses on the relationships between various CM‑related concepts using a hypothesis scratchpad. ;Hypothesis scratchpad;Levantamento de hipóteses
35;Conceituação;Compartilha fatores que influenciam o movimento circular no Padlet para expor concepções;Aluno;The Padlet was used as an interactive forum for students to share their views on factors that would influence an object that is moving in CM, and in this way to make their misconceptions apparent. ;Padlet;Comunicação mediada por tecnologia
35;Conceituação;Formula hipóteses sobre relações entre massa, velocidade, aceleração e força usando a ferramenta de hipóteses;Aluno;The hypothesis tool was used to let students formulate their hypotheses about the relationships between mass, velocity, acceleration, and force for an object that is moving in CM. ;Hypothesis scratchpad;Levantamento de hipóteses
35;Investigação;Disponibiliza laboratórios on‑line para que os alunos testem suas hipóteses;Professor;In the investigation phase, students were provided with online laboratories with which they could perform experiments to test their hypotheses. ;Simulações on‑line;Laboratório virtual
35;Investigação;Varia a magnitude da força na simulação de movimento circular uniforme e registra a velocidade resultante;Aluno;They varied the magnitude of force and recorded the resulting velocity. ;Uniform Circular Motion simulation;Simulação / material interativo | Coleta de evidências / dados quantitativos
35;Investigação;Altera o raio na simulação Gravity and Orbits, tabula resultados e observa direção das forças;Aluno;The students varied the radius between the sun and a planet and observed whether the planet continued on a circular path. They were required to tabulate the result for a range of forces. ;Gravity and Orbits simulation;Simulação / material interativo | Coleta de evidências / dados quantitativos
35;Investigação;Realiza experimento físico com cordão e peso, observa tensão e desenha diagramas de forças;Aluno;students were provided with physical strings and bobs. The students were required to draw free body diagrams and state the forces acting on the bob and the resultant force. ;Cordões e bobs;Laboratório físico | Coleta de evidências / dados quantitativos
35;Conclusão;Descreve os achados em relação às hipóteses, ajusta hipóteses se houver divergência e repete a simulação;Aluno;In the conclusion phase, the students were required to describe their findings concerning the hypotheses they had generated. If what they wrote in the hypotheses was at variance with the investigation, they were asked to adjust their hypotheses and run the simulation again. ;"Observation app; Simulações";Conexão entre prática e teoria
35;Conclusão;Apresenta imagem de atleta girando bola e solicita que os alunos prevejam a trajetória após romper a corda;Professor;students were presented with an image of an athlete swinging a ball in a circular path in a horizontal plane. They were required to describe the path of motion of the ball when the string breaks. ;"Imagem; Observation app";Conexão entre prática e teoria
35;Conclusão;Relaciona observações às hipóteses no app de observação;Aluno;An observation app was provided for the students to state their observations and relate their observations to the hypotheses they generated. ;Observation app;Conexão entre prática e teoria
35;Discussão;Discute resultados e sugere melhorias na investigação usando ferramenta de discussão on‑line;Aluno;the students were required to discuss with their classmates with the use of an online discussion tool and suggest any improvements they would make to their investigations and findings. ;Ferramenta de discussão on‑line;Discussão não mediada por tecnologia | Discussão aberta
35;Discussão;Consolida a aprendizagem respondendo quiz e assistindo animação de síntese;Aluno;students were required to consolidate what they learned by using a quiz tool. Then students were required to watch an animation of a summary of the principles that govern the CM experienced by an object. ;"Quiz tool; Animação";Quiz / enquete / avaliação formativa | Atividade metacognitiva
35;Discussão;Fornece ferramenta de discussão on‑line para troca entre os alunos;Professor;students were provided with an online discussion tool in which they shared their observations and considerations with other students. ;Ferramenta de discussão on‑line;Comunicação mediada por tecnologia | Discussão aberta
41;Orientação;O professor divide aleatoriamente os alunos em grupos de 3‑5 por computador para a atividade.;Professor;“During this lesson, the learners were randomly divided into groups of 3 to 5 (usually 3) learners per computer where the learning environments were run.”;Organização inicial de grupos colaborativos;
41;Orientação;Alunos utilizam a aba de familiarização para aprender a mover os pássaros e remover suportes na simulação.;Alunos;Tabela A1, Tab 1: “Familiarization: how to move the birds and remove the supports.”;Aba 'Familiarization' com instruções da simulação;Protocolo definido pelo aluno / exploratória
41;Orientação;PST oferece ajuda apenas quando necessário e baseada nas ideias dos alunos.;Professor (PST);“The PSTs were instructed to provide help for the learners only when needed and to provide this help only based on the learners’ ideas.”;Suporte contingente do PST;Dicas / perguntas norteadoras / prompts
41;Conceituação;Alunos formulam uma ou mais regras para equilibrar a gangorra a partir das explorações iniciais.;Alunos;“The learners were asked to use the Balance Lab simulation to formulate a rule or multiple rules for balancing the seesaw…”;"Simulação Balance Lab; prompt textual de formulação de regra";Simulação / material interativo
41;Conceituação;Ao final de cada tarefa, alunos registram a regra de equilíbrio no campo de texto.;Alunos;“At the end of each task, the learners were prompted to formulate a rule about how to balance the seesaw.”;Prompt de registro de regra no final da tarefa;Dicas / perguntas norteadoras / prompts
41;Conceituação;Regra previamente registrada é apresentada no início da tarefa seguinte para ser revista pelos alunos.;Ambiente/Alunos;“This rule was then shown to the learners at the start of the next task.”;Exibição automática da regra anterior para reflexão;Heurísticas
41;Investigação;Alunos manipulam pesos (1–6 kg) e posições (1–8 m) dos pássaros na Balance Lab para experimentar múltiplas combinações.;Alunos;“…experimenting with multiple different combinations of weights and distances from the fulcrum.”;Simulação Balance Lab com variáveis ajustáveis;Laboratório físico | Coleta de evidências / dados quantitativos
41;Investigação;Nos tasks da EMP, alunos buscam todas as configurações que resultam em equilíbrio ajustando variáveis.;Alunos;Tabela A1, Task 1a: “Task: Find all the configurations that result in balance.”;Tarefas estruturadas com modelo de progressão explícita;Protocolo estruturado pelo professor
41;Investigação;Quando o balanceamento falha, alunos retornam à Balance Lab para desenvolver ainda mais a regra testando novas hipóteses.;Alunos;“If they did not succeed on their first try, they were instructed via text to return to the Balance Lab tab and develop their rule for balancing the beam further.”;"Instrução textual; reabertura do espaço de experimentação";Heurísticas
41;Conclusão;Alunos testam a regra formulada em tarefas progressivamente mais complexas e recebem feedback imediato se a gangorra equilibra ou não.;Alunos;“In each task, the learners were presented with the rule(s)… and had one chance to balance the beam…”;"Feedback visual da simulação; sequência de tarefas crescente em complexidade";Atividade metacognitiva
41;Conclusão;Em tarefa específica, alunos deduzem o peso desconhecido de um pássaro para validar o entendimento da regra.;Alunos;Tabela A1, Tab 6 (EMP): “Task: How much does the bird weigh? (Correct answer: 8 kg)”;"Tarefa de aplicação pontual; simulação";Conexão entre prática e teoria
41;Discussão;Alunos trabalham colaborativamente em grupo para decidir quais variáveis manipular em cada tentativa.;Alunos (grupo);“The setting of the study is collaborative, with students working in groups to solve tasks presented to them via the learning environment.”;"Trabalho em grupo; um computador compartilhado";Colaboração estruturada | Discussão não mediada por tecnologia
41;Discussão;No início de cada tarefa, alunos avaliam em conjunto se a regra anterior precisa ser modificada.;Alunos;“…they were expected to start each task by evaluating their previous rule.”;"Prompt de avaliação; apresentação da regra anterior";Lista de verificação / rubricas | Atividade metacognitiva | Colaboração estruturada
47;Orientação;Instrui os alunos a lerem os objetivos e confirmar compreensão;Professor;Instruct students to read the objects and make sure the students understand the goal of this course;Objetivos específicos no WISE;Demonstração / exemplos / comparações / diretrizes
47;Orientação;Explica como utilizar o mapa de exploração;Professor;Explain how to use the exploration map and guidance;Mapa de exploração do WISE;Demonstração / exemplos / comparações / diretrizes
47;Orientação;Plataforma disponibiliza mapa de exploração;Plataforma;Provide exploration map;Mapa de exploração;
47;Conceituação;Leitura de materiais de referência;Aluno;Reading materials;Textos de apoio no WISE;Apresentação direta da informação
47;Conceituação;Revisão e integração via questionamentos;Professor;Help students review and integrate knowledge through questioning at the end of each session;Scaffolding (5 min);Dicas / perguntas norteadoras / prompts
47;Conceituação;Elaboração de mapa conceitual;Aluno;students are suggested to draw a concept map;Prompt de mapa conceitual;Organizadores gráficos
47;Investigação;Formula hipótese experimental;Aluno;Students were asked to propose an experimental hypothesis;Desafio “Thermos cup”;Levantamento de hipóteses / predições
47;Investigação;Planeja experimento comparativo;Aluno;design the experiment;Ferramentas de planejamento;Protocolo definido pelo aluno / exploratória
47;Investigação;Executa simulação NetLogo;Aluno;carry out the computer simulation;Modelo NetLogo;Simulação / material interativo
47;Investigação;Coleta dados e usa gráfico;Aluno;collect the data, use the chart to represent the data;Ferramenta de gráfico;Coleta de evidências / dados quantitativos
47;Investigação;Guiado por passo‑a‑passo;Professor;using tools to guide process steps;Process‑steps guidance;Suporte restrição de processo / progressão
47;Conclusão;Formula conclusões;Aluno;make the conclusions;Gráfico de resultados;Conexão entre prática e teoria
47;Conclusão;Feedback docente contínuo;Professor;Teachers provide feedback in each session and summaries in the last session;Feedback do professor;Suporte scaffold
47;Conclusão;Feedback automático da plataforma;Plataforma;Multiple-choice questions are scored automatically, with corresponding feedback for each choice;Sistema de feedback automático;Suporte painel de desempenho
47;Discussão;Compartilha descobertas com colegas;Aluno;share their findings with others;Espaço de comunicação;Discussão não mediada por tecnologia | Discussão aberta
47;Discussão;Professor organiza quadro curricular;Professor;helping students straighten out the curriculum framework;Orientação estrutural;Suporte scaffold | Colaboração estruturada
50;Orientação;Ativam conhecimentos prévios com perguntas e curiosidades sobre o tema;Aluno;Students raised several questions in WeEngage: What planet is the closest to the sun? Why is Mercury called 'water planet' but there is no water on it?;"Fase WeEngage no m-Orchestrate; recursos do museu e NASA para ativar conhecimentos prévios";Introdução com pergunta
50;Orientação;Discutem as perguntas levantadas, argumentando e contra-argumentando;Aluno;Students made comments on the inquiry questions. For example, one member raised the question... another member commented, 'this topic is too easy, Mercury';Chat Room do app m-Orchestrate para comunicação textual;Introdução com pergunta
50;Orientação;Levam em conta diferentes opiniões para decidir a pergunta investigativa final;Aluno;The inquiry question 'How cold or hot on the surface of the eight planets?' was agreed upon by all group members;Discussão no m-Orchestrate – Fase WeEngage;Introdução com pergunta
50;Orientação;Apresentam recursos científicos como vídeos e simulações para contextualizar o tema;Professor;The teacher and researchers prepared web resources related to each inquiry phase (e.g., Solar System Research Resources from Hong Kong Space Museum, and 3D Solar System Exploration from NASA Science);Recursos online do museu de Hong Kong e da NASA;Introdução com recurso multimídia
50;Orientação;Oferecem tutoriais sobre o uso do aplicativo e das etapas do projeto;Professor;A 2-hour tutorial about how to make use of the m-Orchestrate app to conduct CIBL was held for participating students;Tutoriais e orientação para uso do m-Orchestrate;Demonstração / exemplos / comparações / diretrizes
50;Conceituação;Leem e analisam vídeos, imagens e textos multimodais sobre o tema;Aluno;Students posted videos, pictures, articles related to the inquiry topic;Recurso de coleta multimodal do m-Orchestrate (texto, vídeo, imagem, planilha);Pesquisa bibliográfica
50;Conceituação;Revisam conhecimento prévio e explicitam o que desejam aprender;Aluno;Students reflect on what they know and what they want to know about the inquiry topic before their collaborative inquiry;"Fase WeReflect; recurso de criação de KWL table";Organizadores gráficos
50;Conceituação;Organizam o que sabem e o que desejam saber em tabelas KWL;Aluno;Students reviewed their inquiry process and summarised findings in a KWL table;Ferramenta KWL do m-Orchestrate;Organizadores gráficos
50;Investigação;Planejam tarefas e dividem o trabalho entre os membros do grupo;Aluno;Student A was chosen as a group leader. He/She assigned the learning tasks and asked if there were any objections;"Ferramenta de divisão de tarefas do m-Orchestrate; chat para negociação";Roleplay
50;Investigação;Coletam dados em formato multimodal conforme plano;Aluno;Students collected data to address their inquiry question in multimedia according to their plan;Funcionalidade WeCollect do m-Orchestrate para uploads multimodais;Coleta de evidências / dados mistos ou não especificados
50;Investigação;Analisam dados coletados com ferramentas digitais;Aluno;Students analysed the collected data [...] by using corresponding tools embedded in the m-Orchestrate app. They also cited the source of data;Ferramentas de análise embutidas no m-Orchestrate;Suporte scaffold
50;Conclusão;Preparam slideshow com processo e achados;Aluno;Students made an audio recording using the slideshow to present their findings. The voice was clear. The visual aids [...] were adopted appropriately in the slideshow;"Fase WeExplain no app; recurso de slides e narração";Produção de slides ou pôsteres
50;Conclusão;Apresentam resultados para colegas e professores;Aluno;All students participated in presenting their group findings;"Apresentação oral com slides; Zoom (aulas síncronas)";Discussão não mediada por tecnologia | Discussão aberta
50;Discussão;Avaliam se suas perguntas foram respondidas;Aluno;Students briefly summarised what they have learnt related to the inquiry question;Reflexão final na fase WeReflect;Atividade metacognitiva
50;Discussão;Refletem sobre o processo de colaboração, comunicação e negociação;Aluno;Students summarised that their collaboration and negotiation skills were improved;"Discussões guiadas na fase WeReflect; recurso de texto/reflexão";Atividade metacognitiva
50;Discussão;Professores propõem atividades de reflexão com perguntas metacognitivas;Professor;Teachers should assign students more specific tasks in the WeReflect phase with different timelines, such as asking students to brainstorm 'what do you know about the topic?' and 'what do you want to learn about the topic?';Propostas de atividade metacognitiva durante o planejamento pedagógico;Dicas / perguntas norteadoras / prompts | Atividade metacognitiva
53;Orientação;Professor exibe vídeo introdutório sobre circuitos série/paralelo;Professor;I am going to play a video for series and parallel circuit as an introduction to my lesson.;Vídeo (audiovisual) ;Introdução com recurso multimídia
53;Orientação;Professor pede que alunos construam rapidamente um circuito em série no PhET;Professor;Ok let’s do this ... quickly create a series circuit in your simulations to show that you understand the meaning of a series circuit.;Simulação PhET ;Quiz / enquete / avaliação formativa
53;Orientação;Alunos constroem circuito simples no PhET para demonstrar conhecimento prévio;Alunos;Learners had to express their understanding of the topic by constructing a simple circuit to present it to their teacher as evidence of their understanding.;Simulação PhET ;Quiz / enquete / avaliação formativa
53;Conceituação;Professor faz perguntas metacognitivas sobre cálculo de resistência;Professor;Alright. What have we got here? have you calculated your total resistance? How have you got your 3.3 ohms?;"Questionamento; PhET ";Dicas / perguntas norteadoras / prompts | Atividade metacognitiva
53;Conceituação;Alunos calculam resistência equivalente usando V/I;Alunos;Alright you can use that, the V over I. What is your answer? Still 3.33 ohms. So that proves that the method is correct.;"Simulação; calculadora ";Suporte scaffold
53;Conceituação;Professor corrige concepção equivocada sobre corrente e tensão;Professor;Susan: Right, uhm, I just want to make a small correction on potential difference. We cannot have current being divided and potential difference being divided.;"Feedback docente; PhET ";Apresentação direta da informação
53;Investigação;Alunos constroem circuito paralelo manipulando variáveis;Alunos;Now what I want you to do now using the PhET simulation ... construct a parallel circuit.;Simulação PhET ;Simulação / material interativo | Letramento digital / computação
